#############################################,,,,,,,,,
# Title: Ternary discrimination diagrams of magmatic rocks,,,,,,,,,
# Description: dataset of various geological classification domains for magmatic rocks in ternary diagram,,,,,,,,,
# Date: 2017/09/20,,,,,,,,,
# Author: Jérémy Ragusa,,,,,,,,,
#############################################,,,,,,,,,
# References:,,,,,,,,,
# Ewart1982: Ewart A (1982) The mineralogy and petrology of Tertiary-Recent orogenic volcanic rocks: with special reference to the andesitic-basaltic compositional range p25-95 in Thorp RS ed. Andesites: Orogenic Andesites and Related rocks John Wiley and Sons New York 724 p,,,,,,,,,
# LeBas1986: LeBas MJ LeMaitre RW Streckeisen A and Zanettin B (1986) A chemical classification of volcanic rocks based on the total alkali-silica diagram Journal of Petrology 27:745-750 ,,,,,,,,,
# Winchester1977: Winchester JA and Floyd PA (1977) Geochemical discrimination of different magma series and their differentiation products using immobile elements Chemical Geology 20:325-343,,,,,,,,,
#############################################,,,,,,,,,
# Comments: ,,,,,,,,,
# Values are reported form references or using WebPlotDigitizer (http://arohatgi.info/WebPlotDigitizer/beta/),,,,,,,,,
# x = left corner y = top corner z = right corner,,,,,,,,,
#############################################,,,,,,,,,
x,y,line,reference,xlab,ylab,text,xtext,ytext,
45,1.4,O1,Ewart1982,SiO2,K2O,Low-K basalt,47,0.1,
48,1.7,O1,Ewart1982,SiO2,K2O,Basalt,47,0.75,
48,1.7,O2,Ewart1982,SiO2,K2O,High-K basalt,47,1.3,
56,3.2,O2,Ewart1982,SiO2,K2O,Absarokite,47,2.5,
56,3.2,O3,Ewart1982,SiO2,K2O,Low-K basaltic andesite,54,0.2,
63,4,O3,Ewart1982,SiO2,K2O,Basaltic andesite,54,1,
63,5,V1,Ewart1982,SiO2,K2O,High-K basaltic andesite,54,2,
63,0,V1,Ewart1982,SiO2,K2O,Shoshonite,54,3.5,
69,0,V2,Ewart1982,SiO2,K2O,Low-K andesite,59.5,0.5,
69,5.4,V2,Ewart1982,SiO2,K2O,Andesite,59.5,1.25,
69,0,H1,Ewart1982,SiO2,K2O,High-K andesite,59.5,2.75,
52,0,H1,Ewart1982,SiO2,K2O,Banakite,59.5,4,
56,4.5,V3,Ewart1982,SiO2,K2O,Low-K andesite,66,0.5,
56,0,V3,Ewart1982,SiO2,K2O,Dacite,66,2,
52,0,V4,Ewart1982,SiO2,K2O,High-K dacite,66,3.5,
52,3.4,V4,Ewart1982,SiO2,K2O,Low-K rhyolite,72,.5,
52,1.5,O4,Ewart1982,SiO2,K2O,Rhyolite,72,2,
45,0.9,O4,Ewart1982,SiO2,K2O,High-K rhyolite,72,4,
52,1.5,O5,Ewart1982,SiO2,K2O,,,,
56,1.8,O5,Ewart1982,SiO2,K2O,,,,
76,3.5,O6,Ewart1982,SiO2,K2O,,,,
56,1.8,O6,Ewart1982,SiO2,K2O,,,,
56,0.7,O7,Ewart1982,SiO2,K2O,,,,
45,0.2,O7,Ewart1982,SiO2,K2O,,,,
56,0.7,O8,Ewart1982,SiO2,K2O,,,,
76,1.6,O8,Ewart1982,SiO2,K2O,,,,
41,0,V1,LeBas1986,SiO2,Na2O+K2O,Picro-basalt,43,1.8,
41,7,V1,LeBas1986,SiO2,Na2O+K2O,Basanite,43,4,
45,0,V2,LeBas1986,SiO2,Na2O+K2O,Tephrite,45,7,silica undersaturated
45,5,V2,LeBas1986,SiO2,Na2O+K2O,Phonotephrite,49,9.5,silica undersaturated
41,3,H1,LeBas1986,SiO2,Na2O+K2O,Tephriphonolite,53,11.5,silica undersaturated
45,3,H1,LeBas1986,SiO2,Na2O+K2O,Phonolite,58,14,silica undersaturated
41,7,O1,LeBas1986,SiO2,Na2O+K2O,Foidite,46,13,silica undersaturated
45,9.4,O1,LeBas1986,SiO2,Na2O+K2O,Basalt,48.5,2.5,silica oversaturated
45,9.4,O2,LeBas1986,SiO2,Na2O+K2O,Trachybasalt,49,6,Silica satured
48.4,11.5,O2,LeBas1986,SiO2,Na2O+K2O,Basaltic trachyandesite,53,7,Silica satured
48.4,11.5,O3,LeBas1986,SiO2,Na2O+K2O,Trachyandesite,58,8.5,Silica satured
52.5,14,O3,LeBas1986,SiO2,Na2O+K2O,Trachydacite,65,10,Silica satured
49,15.5,O4,LeBas1986,SiO2,Na2O+K2O,Trachyte,65,12,Silica satured
52.5,14,O4,LeBas1986,SiO2,Na2O+K2O,Basaltic andesite,54.5,3,silica oversaturated
57.6,11.7,O5,LeBas1986,SiO2,Na2O+K2O,Andesite,60,4,silica oversaturated
63,14.56,O5,LeBas1986,SiO2,Na2O+K2O,Dacite,67,4,silica oversaturated
57.6,11.7,O6,LeBas1986,SiO2,Na2O+K2O,Rhyolite,76,8,
63,7,O6,LeBas1986,SiO2,Na2O+K2O,,,,
57.6,11.7,O7,LeBas1986,SiO2,Na2O+K2O,,,,
53,9.3,O7,LeBas1986,SiO2,Na2O+K2O,,,,
53,9.3,O8,LeBas1986,SiO2,Na2O+K2O,,,,
49.4,7.3,O8,LeBas1986,SiO2,Na2O+K2O,,,,
57.6,11.7,O9,LeBas1986,SiO2,Na2O+K2O,,,,
52.5,14,O9,LeBas1986,SiO2,Na2O+K2O,,,,
48.4,11.5,O10,LeBas1986,SiO2,Na2O+K2O,,,,
53,9.3,O10,LeBas1986,SiO2,Na2O+K2O,,,,
57,5.9,O11,LeBas1986,SiO2,Na2O+K2O,,,,
53,9.3,O11,LeBas1986,SiO2,Na2O+K2O,,,,
49.4,7.3,O12,LeBas1986,SiO2,Na2O+K2O,,,,
45,9.4,O12,LeBas1986,SiO2,Na2O+K2O,,,,
49.4,7.3,O13,LeBas1986,SiO2,Na2O+K2O,,,,
52,5,O13,LeBas1986,SiO2,Na2O+K2O,,,,
49.4,7.3,O14,LeBas1986,SiO2,Na2O+K2O,,,,
45,5,O14,LeBas1986,SiO2,Na2O+K2O,,,,
45,0,V3,LeBas1986,SiO2,Na2O+K2O,,,,
45,3,V3,LeBas1986,SiO2,Na2O+K2O,,,,
45,5,H2,LeBas1986,SiO2,Na2O+K2O,,,,
52,5,H2,LeBas1986,SiO2,Na2O+K2O,,,,
52,0,V4,LeBas1986,SiO2,Na2O+K2O,,,,
52,5,V4,LeBas1986,SiO2,Na2O+K2O,,,,
57,5.9,V5,LeBas1986,SiO2,Na2O+K2O,,,,
57,0,V5,LeBas1986,SiO2,Na2O+K2O,,,,
57,5.9,O15,LeBas1986,SiO2,Na2O+K2O,,,,
63,7,O15,LeBas1986,SiO2,Na2O+K2O,,,,
52,5,O16,LeBas1986,SiO2,Na2O+K2O,,,,
57,5.9,O16,LeBas1986,SiO2,Na2O+K2O,,,,
63,7,O17,LeBas1986,SiO2,Na2O+K2O,,,,
69,8,O17,LeBas1986,SiO2,Na2O+K2O,,,,
63,0,L19,LeBas1986,SiO2,Na2O+K2O,,,,
63,7,L19,LeBas1986,SiO2,Na2O+K2O,,,,
69,8,L20,LeBas1986,SiO2,Na2O+K2O,,,,
69,13,L20,LeBas1986,SiO2,Na2O+K2O,,,,
69,8,L21,LeBas1986,SiO2,Na2O+K2O,,,,
77,0,L21,LeBas1986,SiO2,Na2O+K2O,,,,
1.54,77,L1,Winchester1977,Nb/Y,SiO2,,,,
1.33,76.5,L1,Winchester1977,Nb/Y,SiO2,,,,
1.33,76.5,L2a,Winchester1977,Nb/Y,SiO2,,,,
1.17,75.9,L2a,Winchester1977,Nb/Y,SiO2,,,,
1.17,75.9,L2,Winchester1977,Nb/Y,SiO2,,,,
1.06,75.4,L2,Winchester1977,Nb/Y,SiO2,,,,
0.94,74.7,L3,Winchester1977,Nb/Y,SiO2,,,,
0.85,74.1,L3,Winchester1977,Nb/Y,SiO2,,,,
0.75,73,L4,Winchester1977,Nb/Y,SiO2,,,,
0.08,73,L4,Winchester1977,Nb/Y,SiO2,,,,
0.75,73,L5,Winchester1977,Nb/Y,SiO2,,,,
0.72,66.5,L5,Winchester1977,Nb/Y,SiO2,,,,
10.61,66.5,L6,Winchester1977,Nb/Y,SiO2,,,,
0.72,66.5,L6,Winchester1977,Nb/Y,SiO2,,,,
0.7,62.5,L7,Winchester1977,Nb/Y,SiO2,,,,
0.54,62.7,L7,Winchester1977,Nb/Y,SiO2,,,,
0.43,62.9,L8,Winchester1977,Nb/Y,SiO2,,,,
0.35,63,L8,Winchester1977,Nb/Y,SiO2,,,,
0.27,63,L9,Winchester1977,Nb/Y,SiO2,,,,
0.04,63,L9,Winchester1977,Nb/Y,SiO2,,,,
0.27,63,L10,Winchester1977,Nb/Y,SiO2,,,,
0.35,63,L10,Winchester1977,Nb/Y,SiO2,,,,
0.43,62.9,L11,Winchester1977,Nb/Y,SiO2,,,,
0.54,62.7,L11,Winchester1977,Nb/Y,SiO2,,,,
0.7,62.5,L12,Winchester1977,Nb/Y,SiO2,,,,
0.7,53,L12,Winchester1977,Nb/Y,SiO2,,,,
0.02,53,L13,Winchester1977,Nb/Y,SiO2,,,,
0.7,53,L13,Winchester1977,Nb/Y,SiO2,,,,
0.7,45,L14,Winchester1977,Nb/Y,SiO2,,,,
0.7,53,L14,Winchester1977,Nb/Y,SiO2,,,,
0.7,62.5,L15,Winchester1977,Nb/Y,SiO2,,,,
1.64,60,L15,Winchester1977,Nb/Y,SiO2,,,,
10.61,60,L16,Winchester1977,Nb/Y,SiO2,,,,
1.64,60,L16,Winchester1977,Nb/Y,SiO2,,,,
2.14,58.8,L17,Winchester1977,Nb/Y,SiO2,,,,
2.5,57.9,L17,Winchester1977,Nb/Y,SiO2,,,,
3.1,56.5,L18,Winchester1977,Nb/Y,SiO2,,,,
3.53,55.4,L18,Winchester1977,Nb/Y,SiO2,,,,
4,54.2,L19,Winchester1977,Nb/Y,SiO2,,,,
4.39,53,L19,Winchester1977,Nb/Y,SiO2,,,,
7.9,51,L20,Winchester1977,Nb/Y,SiO2,,,,
4.39,53,L20,Winchester1977,Nb/Y,SiO2,,,,
0.7,53,L21,Winchester1977,Nb/Y,SiO2,,,,
4.39,53,L21,Winchester1977,Nb/Y,SiO2,,,,
3.06,46.5,L22,Winchester1977,Nb/Y,SiO2,,,,
2.77,45.5,L22,Winchester1977,Nb/Y,SiO2,,,,
2.43,44.7,L23,Winchester1977,Nb/Y,SiO2,,,,
2.03,43.7,L23,Winchester1977,Nb/Y,SiO2,,,,
1.64,42.8,L24,Winchester1977,Nb/Y,SiO2,,,,
1.35,42,L24,Winchester1977,Nb/Y,SiO2,,,,
50.55436,3.34903623150069,H1,Brown1982,SiO2,CaO/(Na2O+K2O),Andesite (less mature arc),65,5,
50.52134,2.59567621771293,H1,Brown1982,SiO2,CaO/(Na2O+K2O),Andesite (normal field),65,1,
50.55436,3.34903623150069,H2,Brown1982,SiO2,CaO/(Na2O+K2O),Andesite (more mature arc),55,0.5,
76.11184,0.179762974601867,H2,Brown1982,SiO2,CaO/(Na2O+K2O),,,,
72.94192,0.11005771581564,H3,Brown1982,SiO2,CaO/(Na2O+K2O),,,,
76.11184,0.179762974601867,H3,Brown1982,SiO2,CaO/(Na2O+K2O),,,,
50.52134,2.59567621771293,H4,Brown1982,SiO2,CaO/(Na2O+K2O),,,,
72.94192,0.11005771581564,H4,Brown1982,SiO2,CaO/(Na2O+K2O),,,,
0,0.1,O1,Floyd1975a,Zr,P2O5,Alkaline basalt,200,0.6,
500,0.7,O1,Floyd1975a,Zr,P2O5,Tholeiitic basalt,250,0.2,
0,0,O1,Floyd1975b,Zr/P2O5,TiO2,Alkaline basalt,600,2.5,
2000,4,O1,Floyd1975b,Zr/P2O5,TiO2,Tholeiitic basalt,1000,1,
0,0,O1,Floyd1975c,Zr/P2O5,Nb/Y,Alkaline basalt,500,2,
2000,4,O1,Floyd1975c,Zr/P2O5,Nb/Y,Tholeiitic basalt,800,0.75,
38.4,0.01,O1,Hastie2006,Co,Th,Island Arc Tholeiite,60,0.1,
24,100,O1,Hastie2006,Co,Th,Calc-Alkaline,60,1,
23,0.01,O2,Hastie2006,Co,Th,High-K and Shoshonitic,60,10,
7,100,O2,Hastie2006,Co,Th,Basaltic andesite-Andesite,10,1,
70,0.245,O3,Hastie2006,Co,Th,Dacite-Rhyolite-Latite-Trachyte,30,1,
0,1.35,O3,Hastie2006,Co,Th,,,,
70,2.2,O4,Hastie2006,Co,Th,,,,
0,9,O4,Hastie2006,Co,Th,,,,
46,0.5,O1,Miyashiro1974,SiO2,FeO/MgO,Arc tholeiitic,51,3.5,
78,5.5,O1,Miyashiro1974,SiO2,FeO/MgO,Arc calc-alcaline,65,2,
45,0.2,O1,Peccerillo1976,SiO2,K2O,Tholeiitic serie,60,0.3,
70,1.3,O1,Peccerillo1976,SiO2,K2O,Calc-alkaline serie,50,1.20,
